Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-24,24-322,MIL,@,HOU,W (+6),1,28:10,11,17,.647,2,5,.400,6,11,.545,0,13,13,11,1,1,3,6,30,28.4,+8
2,2,2019-10-26,24-324,MIL,,MIA,L (-5),1,36:38,12,21,.571,0,5,.000,5,9,.556,3,14,17,9,3,2,8,6,29,24.1,0
3,3,2019-10-28,24-326,MIL,,CLE,W (+17),1,29:12,5,15,.333,0,2,.000,4,8,.500,1,9,10,7,0,2,2,2,14,10.8,+10
4,4,2019-10-30,24-328,MIL,@,BOS,L (-11),1,34:38,8,13,.615,0,2,.000,6,10,.600,1,13,14,5,1,2,3,4,22,20.4,-4
5,5,2019-11-01,24-330,MIL,@,ORL,W (+32),1,30:16,10,16,.625,1,4,.250,8,11,.727,2,12,14,6,2,0,7,4,29,23.2,+19
6,6,2019-11-02,24-331,MIL,,TOR,W (+10),1,36:26,14,20,.700,1,2,.500,7,10,.700,2,13,15,8,1,4,3,3,36,36.9,+9
7,7,2019-11-04,24-333,MIL,@,MIN,W (+28),1,26:42,14,19,.737,0,3,.000,6,11,.545,4,11,15,6,0,0,3,4,34,30.0,+28
8,8,2019-11-06,24-335,MIL,@,LAC,W (+5),1,35:43,10,21,.476,4,7,.571,14,18,.778,4,12,16,9,2,2,3,4,38,37.2,+13
9,9,2019-11-08,24-337,MIL,@,UTA,L (-3),1,36:26,10,22,.455,2,6,.333,8,13,.615,4,9,13,4,2,2,5,6,30,20.9,-6
10,10,2019-11-10,24-339,MIL,@,OKC,W (+2),1,36:25,13,19,.684,2,3,.667,7,9,.778,2,14,16,3,1,1,7,3,35,27.3,+15
11,11,2019-11-14,24-343,MIL,,CHI,W (+9),1,35:50,13,24,.542,1,5,.200,11,20,.550,5,11,16,4,3,1,5,4,38,29.5,-4
12,12,2019-11-16,24-345,MIL,@,IND,W (+19),1,28:24,10,17,.588,3,6,.500,3,5,.600,3,10,13,6,1,1,5,1,26,22.9,+19
13,13,2019-11-18,24-347,MIL,@,CHI,W (+14),1,33:44,13,22,.591,2,6,.333,5,12,.417,2,8,10,2,3,1,8,5,33,18.9,+12
14,14,2019-11-20,24-349,MIL,@,ATL,W (+8),1,30:08,12,17,.706,1,6,.167,8,13,.615,0,11,11,4,0,1,4,2,33,25.9,+17
