Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,46-8,25-3,21-5,28-4,18-4,7-2,11-1,10-1,6-2,7-0,5-2,46-8,0-0,2-1,31-4,2-2,15-1,13-2,11-2,5-1,0-0,0-0
2,Los Angeles Lakers,41-12,18-7,23-5,13-6,28-6,3-3,3-2,7-1,10-2,7-2,11-2,41-12,0-0,4-2,21-6,3-1,14-1,9-5,10-4,5-1,0-0,0-0
3,Toronto Raptors,40-15,21-7,19-8,29-8,11-7,8-4,11-2,10-2,5-2,2-2,4-3,40-15,0-0,6-3,19-7,4-1,10-3,9-7,12-3,5-1,0-0,0-0
4,Boston Celtics,38-16,23-5,15-11,25-9,13-7,7-5,7-3,11-1,2-1,6-3,5-3,38-16,0-0,4-2,23-7,3-1,10-4,10-3,9-7,6-1,0-0,0-0
5,Denver Nuggets,38-17,21-7,17-10,13-8,25-9,5-3,2-3,6-2,9-0,9-3,7-6,38-17,0-0,7-3,12-6,3-2,10-2,10-6,11-5,4-2,0-0,0-0
6,Los Angeles Clippers,37-18,22-5,15-13,16-6,21-12,4-2,4-3,8-1,6-5,6-2,9-5,37-18,0-0,8-1,23-8,4-2,10-4,10-5,9-4,4-3,0-0,0-0
7,Utah Jazz,36-18,20-5,16-13,15-5,21-13,4-2,4-2,7-1,5-5,9-4,7-4,36-18,0-0,6-4,16-7,4-1,8-6,9-5,11-4,4-2,0-0,0-0
8,Miami Heat,35-19,22-3,13-16,23-7,12-12,7-5,8-0,8-2,3-4,4-5,5-3,35-19,0-0,4-2,18-8,4-1,9-4,11-4,8-6,3-4,0-0,0-0
9,Houston Rockets,34-20,19-8,15-12,13-4,21-16,4-1,3-2,6-1,8-7,7-5,6-4,34-20,0-0,3-4,16-10,3-1,10-5,10-5,7-7,4-2,0-0,0-0
10,Philadelphia 76ers,34-21,25-2,9-19,22-14,12-7,9-4,9-3,4-7,5-3,4-1,3-3,34-21,0-0,5-4,15-11,4-0,10-6,9-7,8-5,3-3,0-0,0-0
11,Dallas Mavericks,33-22,15-14,18-8,14-8,19-14,4-5,6-0,4-3,5-5,7-7,7-2,33-22,0-0,2-7,18-6,3-1,9-5,9-6,8-7,4-3,0-0,0-0
12,Oklahoma City Thunder,33-22,17-12,16-10,11-8,22-14,3-3,4-3,4-2,6-4,7-5,9-5,33-22,0-0,5-6,12-6,1-4,6-7,11-4,12-5,3-2,0-0,0-0
13,Indiana Pacers,32-23,19-10,13-13,20-15,12-8,7-5,6-6,7-4,6-3,4-1,2-4,32-23,0-0,4-6,16-8,1-3,11-4,10-5,9-5,1-6,0-0,0-0
14,Memphis Grizzlies,28-26,16-13,12-13,10-10,18-16,2-2,3-6,5-2,7-5,7-6,4-5,28-26,0-0,3-2,12-15,1-3,4-10,8-8,11-4,4-1,0-0,0-0
15,Brooklyn Nets,25-28,16-12,9-16,17-16,8-12,5-8,6-4,6-4,2-6,3-2,3-4,25-28,0-0,4-4,13-15,1-3,9-6,6-7,5-10,4-2,0-0,0-0
16,Portland Trail Blazers,25-31,15-11,10-20,10-8,15-23,2-4,3-3,5-1,4-8,6-7,5-8,25-31,0-0,5-3,13-13,3-2,5-10,6-8,8-7,3-4,0-0,0-0
17,Orlando Magic,24-31,15-13,9-18,17-17,7-14,4-6,5-7,8-4,0-7,4-5,3-2,24-31,0-0,4-2,12-15,2-2,5-9,7-8,7-8,3-4,0-0,0-0
