Rk,Date,Start (ET),,,,Opponent,result,ot,Tm,Opp,W,L,Streak,Notes
1,Thu Oct 24 2019,8:00p,,Box Score,@,Houston Rockets,W,,117,111,1,0,W 1,
2,Sat Oct 26 2019,5:00p,,Box Score,,Miami Heat,L,OT,126,131,1,1,L 1,
3,Mon Oct 28 2019,8:00p,,Box Score,,Cleveland Cavaliers,W,,129,112,2,1,W 1,
4,Wed Oct 30 2019,7:30p,,Box Score,@,Boston Celtics,L,,105,116,2,2,L 1,
5,Fri Nov 1 2019,7:00p,,Box Score,@,Orlando Magic,W,,123,91,3,2,W 1,
6,Sat Nov 2 2019,8:00p,,Box Score,,Toronto Raptors,W,,115,105,4,2,W 2,
7,Mon Nov 4 2019,8:00p,,Box Score,@,Minnesota Timberwolves,W,,134,106,5,2,W 3,
8,Wed Nov 6 2019,10:00p,,Box Score,@,Los Angeles Clippers,W,,129,124,6,2,W 4,
9,Fri Nov 8 2019,9:00p,,Box Score,@,Utah Jazz,L,,100,103,6,3,L 1,
10,Sun Nov 10 2019,7:00p,,Box Score,@,Oklahoma City Thunder,W,,121,119,7,3,W 1,
11,Thu Nov 14 2019,8:00p,,Box Score,,Chicago Bulls,W,,124,115,8,3,W 2,
12,Sat Nov 16 2019,7:00p,,Box Score,@,Indiana Pacers,W,,102,83,9,3,W 3,
13,Mon Nov 18 2019,8:00p,,Box Score,@,Chicago Bulls,W,,115,101,10,3,W 4,
14,Wed Nov 20 2019,7:30p,,Box Score,@,Atlanta Hawks,W,,135,127,11,3,W 5,
15,Thu Nov 21 2019,8:00p,,Box Score,,Portland Trail Blazers,W,,137,129,12,3,W 6,
16,Sat Nov 23 2019,8:30p,,Box Score,,Detroit Pistons,W,,104,90,13,3,W 7,
17,Mon Nov 25 2019,8:00p,,Box Score,,Utah Jazz,W,,122,118,14,3,W 8,
18,Wed Nov 27 2019,8:00p,,Box Score,,Atlanta Hawks,W,,111,102,15,3,W 9,
19,Fri Nov 29 2019,7:30p,,Box Score,@,Cleveland Cavaliers,W,,119,110,16,3,W 10,
20,Sat Nov 30 2019,8:00p,,Box Score,,Charlotte Hornets,W,,137,96,17,3,W 11,
21,Mon Dec 2 2019,8:00p,,Box Score,,New York Knicks,W,,132,88,18,3,W 12,
22,Wed Dec 4 2019,7:00p,,Box Score,@,Detroit Pistons,W,,127,103,19,3,W 13,
23,Fri Dec 6 2019,8:30p,,Box Score,,Los Angeles Clippers,W,,119,91,20,3,W 14,
24,Mon Dec 9 2019,8:00p,,Box Score,,Orlando Magic,W,,110,101,21,3,W 15,
25,Wed Dec 11 2019,9:30p,,Box Score,,New Orleans Pelicans,W,,127,112,22,3,W 16,
26,Fri Dec 13 2019,8:00p,,Box Score,@,Memphis Grizzlies,W,,127,114,23,3,W 17,
27,Sat Dec 14 2019,8:30p,,Box Score,,Cleveland Cavaliers,W,,125,108,24,3,W 18,
28,Mon Dec 16 2019,8:00p,,Box Score,,Dallas Mavericks,L,,116,120,24,4,L 1,
29,Thu Dec 19 2019,8:00p,,Box Score,,Los Angeles Lakers,W,,111,104,25,4,W 1,
30,Sat Dec 21 2019,7:30p,,Box Score,@,New York Knicks,W,,123,102,26,4,W 2,
31,Sun Dec 22 2019,7:00p,,Box Score,,Indiana Pacers,W,,117,89,27,4,W 3,
32,Wed Dec 25 2019,2:30p,,Box Score,@,Philadelphia 76ers,L,,109,121,27,5,L 1,
33,Fri Dec 27 2019,7:30p,,Box Score,@,Atlanta Hawks,W,,112,86,28,5,W 1,
34,Sat Dec 28 2019,8:30p,,Box Score,,Orlando Magic,W,,111,100,29,5,W 2,
