G,Date,Start (ET),,,,Opponent,result,ot,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 23 2019,7:30p,,Box Score,,Minnesota Timberwolves,L,OT,126,127,0,1,L 1,
2,Fri Oct 25 2019,7:30p,,Box Score,,New York Knicks,W,,113,109,1,1,W 1,
3,Sun Oct 27 2019,6:00p,,Box Score,@,Memphis Grizzlies,L,OT,133,134,1,2,L 1,
4,Wed Oct 30 2019,7:30p,,Box Score,,Indiana Pacers,L,,108,118,1,3,L 2,
5,Fri Nov 1 2019,7:00p,,Box Score,,Houston Rockets,W,,123,116,2,3,W 1,
6,Sat Nov 2 2019,7:00p,,Box Score,@,Detroit Pistons,L,,109,113,2,4,L 1,
7,Mon Nov 4 2019,7:30p,,Box Score,,New Orleans Pelicans,W,,135,125,3,4,W 1,
8,Fri Nov 8 2019,10:00p,,Box Score,@,Portland Trail Blazers,W,,119,115,4,4,W 2,
9,Sun Nov 10 2019,8:00p,,Box Score,@,Phoenix Suns,L,,112,138,4,5,L 1,
10,Tue Nov 12 2019,9:00p,,Box Score,@,Utah Jazz,L,,114,119,4,6,L 2,
11,Thu Nov 14 2019,10:30p,,Box Score,@,Denver Nuggets,L,,93,101,4,7,L 3,
12,Sat Nov 16 2019,6:00p,,Box Score,@,Chicago Bulls,W,,117,111,5,7,W 1,
13,Mon Nov 18 2019,7:30p,,Box Score,,Indiana Pacers,L,,86,115,5,8,L 1,
14,Wed Nov 20 2019,7:30p,,Box Score,,Charlotte Hornets,W,,101,91,6,8,W 1,
15,Fri Nov 22 2019,7:30p,,Box Score,,Sacramento Kings,W,,116,97,7,8,W 2,
16,Sun Nov 24 2019,6:00p,,Box Score,@,New York Knicks,W,,103,101,8,8,W 3,
17,Mon Nov 25 2019,7:00p,,Box Score,@,Cleveland Cavaliers,W,,108,106,9,8,W 4,
18,Wed Nov 27 2019,7:00p,,Box Score,@,Boston Celtics,L,,110,121,9,9,L 1,
19,Fri Nov 29 2019,12:00p,,Box Score,,Boston Celtics,W,,112,107,10,9,W 1,
20,Sun Dec 1 2019,3:00p,,Box Score,,Miami Heat,L,,106,109,10,10,L 1,
21,Wed Dec 4 2019,7:30p,,Box Score,@,Atlanta Hawks,W,,130,118,11,10,W 1,
22,Fri Dec 6 2019,7:00p,,Box Score,@,Charlotte Hornets,W,,111,104,12,10,W 2,
23,Sun Dec 8 2019,3:00p,,Box Score,,Denver Nuggets,W,,105,102,13,10,W 3,
24,Wed Dec 11 2019,7:30p,,Box Score,,Charlotte Hornets,L,,108,113,13,11,L 1,
25,Sat Dec 14 2019,7:30p,,Box Score,@,Toronto Raptors,L,,102,110,13,12,L 2,
26,Sun Dec 15 2019,6:00p,,Box Score,,Philadelphia 76ers,W,,109,89,14,12,W 1,
27,Tue Dec 17 2019,8:00p,,Box Score,@,New Orleans Pelicans,W,OT,108,101,15,12,W 2,
28,Thu Dec 19 2019,8:30p,,Box Score,@,San Antonio Spurs,L,,105,118,15,13,L 1,
29,Sat Dec 21 2019,6:00p,,Box Score,,Atlanta Hawks,W,,122,112,16,13,W 1,
30,Thu Dec 26 2019,7:30p,,Box Score,,New York Knicks,L,,82,94,16,14,L 1,
31,Sat Dec 28 2019,8:00p,,Box Score,@,Houston Rockets,L,,98,108,16,15,L 2,
32,Mon Dec 30 2019,8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,115,122,16,16,L 3,
33,Thu Jan 2 2020,8:30p,,Box Score,@,Dallas Mavericks,L,,111,123,16,17,L 4,
34,Sat Jan 4 2020,6:00p,,Box Score,,Toronto Raptors,L,,102,121,16,18,L 5,
35,Mon Jan 6 2020,7:00p,,Box Score,@,Orlando Magic,L,,89,101,16,19,L 6,
36,Tue Jan 7 2020,7:30p,,Box Score,,Oklahoma City Thunder,L,OT,103,111,16,20,L 7,
37,Fri Jan 10 2020,7:30p,,Box Score,,Miami Heat,W,,117,113,17,20,W 1,
38,Sun Jan 12 2020,6:00p,,Box Score,,Atlanta Hawks,W,,108,86,18,20,W 2,
39,Tue Jan 14 2020,7:30p,,Box Score,,Utah Jazz,L,,107,118,18,21,L 1,
40,Wed Jan 15 2020,7:00p,,Box Score,@,Philadelphia 76ers,L,,106,117,18,22,L 2,
41,Sat Jan 18 2020,6:00p,,Box Score,,Milwaukee Bucks,L,,97,117,18,23,L 3,
42,Mon Jan 20 2020,3:00p,,Box Score,,Philadelphia 76ers,L,,111,117,18,24,L 4,
43,Thu Jan 23 2020,8:00p,,Box Score,,Los Angeles Lakers,L,,113,128,18,25,L 5,
44,Sat Jan 25 2020,7:00p,,Box Score,@,Detroit Pistons,W,OT,121,111,19,25,W 1,
45,Sun Jan 26 2020,6:00p,,Box Score,@,New York Knicks,L,,97,110,19,26,L 1,
46,Wed Jan 29 2020,7:30p,,Box Score,,Detroit Pistons,W,,125,115,20,26,W 1,
47,Fri Jan 31 2020,7:30p,,Box Score,,Chicago Bulls,W,,133,118,21,26,W 2,
48,Sat Feb 1 2020,8:00p,,Box Score,@,Washington Wizards,L,,107,113,21,27,L 1,
49,Mon Feb 3 2020,7:30p,,Box Score,,Phoenix Suns,W,,119,97,22,27,W 1,
50,Wed Feb 5 2020,7:30p,,Box Score,,Golden State Warriors,W,,129,88,23,27,W 2,
51,Sat Feb 8 2020,7:30p,,Box Score,@,Toronto Raptors,L,,118,119,23,28,L 1,
